,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active,New
27974,"Nassau County, NY",US,40.6546,-73.5594,2020-03-20,0,0,0,0,0
27975,"Ramsey County, MN",US,44.9964,-93.0616,2020-03-20,0,0,0,0,0
27976,"Washoe County, NV",US,40.5608,-119.6035,2020-03-20,0,0,0,0,0
27977,"Wayne County, PA",US,41.6739,-75.2479,2020-03-20,0,0,0,0,0
27978,"Yolo County, CA",US,38.7646,-121.9018,2020-03-20,0,0,0,0,0
27979,"Santa Clara County, CA",US,37.3541,-121.9552,2020-03-20,0,0,0,0,0
27980,"Clark County, NV",US,36.0796,-115.094,2020-03-20,0,0,0,0,0
27981,"Fort Bend County, TX",US,29.5693,-95.8143,2020-03-20,0,0,0,0,0
27982,"Grant County, WA",US,47.1981,-119.3732,2020-03-20,0,0,0,0,0
27983,"Santa Rosa County, FL",US,30.769000000000002,-86.9824,2020-03-20,0,0,0,0,0
27984,"Williamson County, TN",US,35.9179,-86.8622,2020-03-20,0,0,0,0,0
27985,"New York County, NY",US,40.7128,-74.006,2020-03-20,0,0,0,0,0
27986,"Montgomery County, MD",US,39.1547,-77.2405,2020-03-20,0,0,0,0,0
27987,"Suffolk County, MA",US,42.3601,-71.0589,2020-03-20,0,0,0,0,0
27988,"Denver County, CO",US,39.7392,-104.9903,2020-03-20,0,0,0,0,0
27989,"Summit County, CO",US,39.5912,-106.064,2020-03-20,0,0,0,0,0
27990,"Bergen County, NJ",US,40.9263,-74.077,2020-03-20,0,0,0,0,0
27991,"Harris County, TX",US,29.7752,-95.3103,2020-03-20,0,0,0,0,0
27992,"San Francisco County, CA",US,37.7749,-122.4194,2020-03-20,0,0,0,0,0
27993,"Contra Costa County, CA",US,37.8534,-121.9018,2020-03-20,0,0,0,0,0
27994,"Orange County, CA",US,33.7879,-117.8531,2020-03-20,0,0,0,0,0
27995,"Norfolk County, MA",US,42.1767,-71.1449,2020-03-20,0,0,0,0,0
27996,"Maricopa County, AZ",US,33.2918,-112.4291,2020-03-20,0,0,0,0,0
27997,"Wake County, NC",US,35.8032,-78.5661,2020-03-20,0,0,0,0,0
27998,"Westchester County, NY",US,41.122,-73.7949,2020-03-20,0,0,0,0,0
27999,"Grafton County, NH",US,43.9088,-71.82600000000001,2020-03-20,0,0,0,0,0
28000,"Hillsborough, FL",US,27.9904,-82.3018,2020-03-20,0,0,0,0,0
